local time,activity,activity id,source activity,duration(s),elapsed time(s),distance(m),calories(kcal),steps,avg speed(m/s),max speed(m/s),avg heartrate,max heartrate,avg cadence,max cadence,avg power,max power,has GPS,min elevation(m),max elevation(m),elevationgain(m),elevationloss(m)
10/21/2022 12:45,Treadmill Running,106,Indoor Running,2529.18,2529.18,3740.47,444,4497,1.48,2.58,116,138,72,115,0,0,0,0,0,0,0
10/19/2022 19:06,Indoor Walking,206,Indoor Walking,356.48,356.48,36.13,24,44,0.1,4.44,77,86,9,90,0,0,0,0,0,0,0
10/19/2022 10:21,Treadmill Running,106,Indoor Running,2083.53,2083.53,3385.86,392,3936,1.63,2.69,128,153,71,140,0,0,0,0,0,0,0
10/18/2022 15:05,Treadmill Running,106,Indoor Running,2309.38,2309.38,4072.01,460,4754,1.76,2.76,135,156,71,140,0,0,0,0,0,0,0
10/17/2022 12:10,Treadmill Running,106,Indoor Running,2406.63,2406.63,4558.75,493,5366,1.89,2.68,126,140,72,152,0,0,0,0,0,0,0
10/14/2022 14:50,Treadmill Running,106,Indoor Running,1610.14,1610.14,2762.67,305,3278,1.72,2.67,122,140,72,140,0,0,0,0,0,0,0
10/13/2022 12:31,Treadmill Running,106,Indoor Running,2466.89,2466.89,3594.57,412,4273,1.46,2.7,119,144,71,141,0,0,0,0,0,0,0
10/12/2022 11:34,Treadmill Running,106,Indoor Running,2674.36,2674.36,3902.98,461,4630,1.46,2.58,131,151,73,164,0,0,0,0,0,0,0
10/11/2022 10:43,Treadmill Running,106,Indoor Running,2321.31,2321.31,3615.9,425,4273,1.56,2.62,131,150,72,117,0,0,0,0,0,0,0
10/10/2022 12:27,Treadmill Running,106,Indoor Running,2222.86,2222.86,3606.44,426,4254,1.62,2.6,124,161,68,117,0,0,0,0,0,0,0
10/7/2022 13:12,Treadmill Running,106,Indoor Running,2071.09,2071.09,3452.28,390,4079,1.67,2.67,129,144,60,152,0,0,0,0,0,0,0
10/6/2022 14:16,Treadmill Running,106,Indoor Running,2184.99,2189.43,2869.7,355,3380,1.31,2.46,124,144,72,187,0,0,0,0,0,0,0
9/29/2022 15:13,Treadmill Running,106,Indoor Running,2223.61,2223.61,3688.72,425,4433,1.66,2.59,126,147,70,141,0,0,0,0,0,0,0
9/28/2022 11:31,Treadmill Running,106,Indoor Running,2129.04,2129.04,3811.22,429,4472,1.79,2.53,126,140,68,103,0,0,0,0,0,0,0
9/27/2022 12:18,Treadmill Running,106,Indoor Running,2014.8,2014.8,4164.06,454,4864,2.07,2.61,134,145,77,87,0,0,0,0,0,0,0
9/26/2022 11:01,Treadmill Running,106,Indoor Running,2377.1,2377.1,3755.66,447,4576,1.58,2.55,128,149,70,167,0,0,0,0,0,0,0
